"plasmid","strain","fold_change","type"
"5-HT2B","Gαz",1.01666966395649,"7.2"
"5-HT2B","Gα15/16",0.978343311488103,"7.2"
"5-HT2B","Gαq/11",1.03095239752267,"7.2"
"5-HT2B","Gα14",1.00693086914982,"7.2"
"5-HT2B","Gαo",1.01795879191517,"7.2"
"5-HT2B","tGPA1",0.98951348975549,"7.2"
"5-HT2C","GPA1",1.35744894950844,"7.2"
"5-HT2C","Gαs/olf",1.09889600290735,"7.2"
"5-HT2C","Gα12",0.900946606050451,"7.2"
"5-HT2C","Gα13",0.969347856132722,"7.2"
"5-HT2C","Gαi1/2",1.15598500312829,"7.2"
"5-HT2C","Gαi3",0.899217023999633,"7.2"
"5-HT2C","Gαz",0.896046357510785,"7.2"
"5-HT2C","Gα15/16",0.9250717537661,"7.2"
"5-HT2C","Gαq/11",0.956050209024876,"7.2"
"5-HT2C","Gα14",1.00685300950919,"7.2"
"5-HT2C","Gαo",0.945720708986009,"7.2"
"5-HT2C","tGPA1",0.848764595737903,"7.2"
"5-HT4","GPA1",12.8282187223889,"7.2"
"5-HT4","Gαs/olf",21.4140068138949,"7.2"
"5-HT4","Gα12",23.9505503664458,"7.2"
"5-HT4","Gα13",32.9655324925606,"7.2"
"5-HT4","Gαi1/2",15.4047743321222,"7.2"
"5-HT4","Gαi3",16.8291213559734,"7.2"
"5-HT4","Gαz",4.02557559896662,"7.2"
"5-HT4","Gα15/16",5.55733849859513,"7.2"
"5-HT4","Gαq/11",26.2794278683805,"7.2"
"5-HT4","Gα14",50.684760361284,"7.2"
"5-HT4","Gαo",40.9980022425799,"7.2"
"5-HT4","tGPA1",1.00309828735599,"7.2"
"5-HT5A","GPA1",0.851618995984663,"7.2"
"5-HT5A","Gαs/olf",1.11538801627774,"7.2"
"5-HT5A","Gα12",1.21253788587289,"7.2"
"5-HT5A","Gα13",1.06532520740454,"7.2"
"5-HT5A","Gαi1/2",1.0845786598246,"7.2"
"5-HT5A","Gαi3",1.05167213905482,"7.2"
"5-HT5A","Gαz",1.0916663553996,"7.2"
"5-HT5A","Gα15/16",1.13783350418976,"7.2"
"5-HT5A","Gαq/11",0.988561574419248,"7.2"
"5-HT5A","Gα14",0.963923127471282,"7.2"
"5-HT5A","Gαo",0.994738874392678,"7.2"
"5-HT5A","tGPA1",1.23626273741363,"7.2"
"5-HT6","GPA1",1.00865305677857,"7.2"
"5-HT6","Gαs/olf",1.03476161163691,"7.2"
"5-HT6","Gα12",0.937862132125598,"7.2"
"5-HT6","Gα13",1.02808596423081,"7.2"
"5-HT6","Gαi1/2",0.975952815909664,"7.2"
"5-HT6","Gαi3",0.849065047619084,"7.2"
"5-HT6","Gαz",0.905877148853269,"7.2"
"5-HT6","Gα15/16",0.911652569490567,"7.2"
"5-HT6","Gαq/11",0.783926549603768,"7.2"
"5-HT6","Gα14",0.924890893304652,"7.2"
"5-HT6","Gαo",0.99475969000111,"7.2"
"5-HT6","tGPA1",1.03916575866889,"7.2"
"5-HT7","GPA1",1.1520837293721,"7.2"
"5-HT7","Gαs/olf",0.815160145084514,"7.2"
"5-HT7","Gα12",1.20310189858213,"7.2"
"5-HT7","Gα13",1.00866255500803,"7.2"
"5-HT7","Gαi1/2",1.20708221567906,"7.2"
"5-HT7","Gαi3",1.01917536452505,"7.2"
"5-HT7","Gαz",0.99772351158423,"7.2"
"5-HT7","Gα15/16",0.894375555243684,"7.2"
"5-HT7","Gαq/11",1.028214066683,"7.2"
"5-HT7","Gα14",0.960187351170459,"7.2"
"5-HT7","Gαo",1.10984879951758,"7.2"
"5-HT7","tGPA1",1.11403824069349,"7.2"
